Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
04/26/2026,IC* INSTACART       SAN FRANCISCO       CA,266.38,"NAWM2K7H    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261170300644132',Merchandise & Supplies-Groceries
04/25/2026,AplPay APNI MANDI FASUNNYVALE           CA,45.24,"95312654   12705090         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12705090         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261160269683343',Merchandise & Supplies-Groceries
04/25/2026,AplPay PANWAARI PAANSUNNYVALE           CA,3.00,"34400179    863-433-5232
AplPay PANWAARI PAAN SHOP LLC
SUNNYVALE
CA
Description : FAST FOOD RESTAURAN Price : 0.00
863-433-5232",AplPay PANWAARI PAANSUNNYVALE           CA,1111 WEST EL CAMINO REAL,"SUNNYVALE
CA",94087,UNITED STATES,'320261160279835914',Restaurant-Bar & Café
04/25/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,76.68,"CH_2TQ1LXXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261160263945860',Merchandise & Supplies-Groceries
04/25/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,214.51,"CH_2TQ1TBXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261160262795970',Merchandise & Supplies-Groceries
04/25/2026,MOBILE PAYMENT - THANK YOU,-154.82,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261150231439344',
04/23/2026,AplPay APNI MANDI FASUNNYVALE           CA,23.04,"72281003   12691811         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12691811         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261140211931103',Merchandise & Supplies-Groceries
04/23/2026,AplPay MASTER BUTCHESUNNYVALE           CA,8.99,"82000078    408-746-5040
AplPay MASTER BUTCHER INC
SUNNYVALE
CA
Description : FREEZER/LOCKER MEAT Price : 0.00
408-746-5040",AplPay MASTER BUTCHESUNNYVALE           CA,1107 WEST EL CAMINO REAL,"SUNNYVALE
CA",94087,UNITED STATES,'320261140219010450',Merchandise & Supplies-Groceries
04/23/2026,AplPay SAFEWAY      SUNNYVALE           CA,32.89,"28870054    800-898-4027
AplPay SAFEWAY
SUNNYVALE
CA
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay SAFEWAY      SUNNYVALE           CA,150 EAST EL CAMINO REAL,"SUNNYVALE
CA",94087,UNITED STATES,'320261140210993827',Merchandise & Supplies-Groceries
04/21/2026,AplPay APNI MANDI FASUNNYVALE           CA,5.69,"50440593   12681144         94087
NONE
AplPay APNI MANDI FARMERS MARKE
SUNNYVALE
CA
NONE
12681144         94087",AplPay APNI MANDI FASUNNYVALE           CA,"1111 WEST ELCAMINO REAL
10","SUNNYVALE
CA",94087,UNITED STATES,'320261120152889483',Merchandise & Supplies-Groceries
