Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/23/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,100.52,"CH_2TALJFXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261470202646252',Merchandise & Supplies-Groceries
05/23/2026,IC* INSTACART       SAN FRANCISCO       CA,5.25,"93HFZANJ    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261430085976155',Merchandise & Supplies-Groceries
05/23/2026,IC* INSTACART       SAN FRANCISCO       CA,103.55,"348RQHV8    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261430084934341',Merchandise & Supplies-Groceries
05/22/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,36.48,"CH_2TA8ELXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261430089711783',Merchandise & Supplies-Groceries
05/22/2026,MOBILE PAYMENT - THANK YOU,-158.54,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261420046698203',
05/16/2026,IC* INSTACART       SAN FRANCISCO       CA,57.66,"CH_2TXQRDXL +18882467822
IC* INSTACART
SAN FRANCISCO
CA
+18882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261370902966287',Merchandise & Supplies-Groceries
05/16/2026,IC* INSTACART       SAN FRANCISCO       CA,213.76,"0ZFPX2DC    8882467822
IC* INSTACART
SAN FRANCISCO
CA
8882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261360868756459',Merchandise & Supplies-Groceries
05/16/2026,IC* INSTACART*1102  SAN FRANCISCO       CA,13.16,"1E49WFKR    8882467822
IC* INSTACART*1102
SAN FRANCISCO
CA
8882467822",IC* INSTACART*1102  SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261360876143220',Merchandise & Supplies-Groceries
05/15/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,194.48,"CH_2TXZMPXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261360876115498',Merchandise & Supplies-Groceries
05/15/2026,IC* INSTACART       SAN FRANCISCO       CA,98.97,"CH_2TXZFOXL +18882467822
IC* INSTACART
SAN FRANCISCO
CA
+18882467822",IC* INSTACART       SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261360874104357',Merchandise & Supplies-Groceries
05/15/2026,MOBILE PAYMENT - THANK YOU,-777.91,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320261360860017028',
05/15/2026,YOUR CASH REWARD/REFUND IS,-419.49,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320261360893502934',Fees & Adjustments-Fees & Adjustments
05/12/2026,COSTCO BY INSTACART SAN FRANCISCO       CA,245.05,"CH_2TWPOEXL +18882467822
COSTCO BY INSTACART
SAN FRANCISCO
CA
+18882467822",COSTCO BY INSTACART SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261330780788383',Merchandise & Supplies-Groceries
05/12/2026,IC* COSTCO BY INSTACSAN FRANCISCO       CA,60.89,"GCDH4GYG    8882467822
IC* COSTCO BY INSTACAR
SAN FRANCISCO
CA
8882467822",IC* COSTCO BY INSTACSAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261320747917439',Merchandise & Supplies-Groceries
05/11/2026,IC* INSTACART*4493  SAN FRANCISCO       CA,25.54,"CH_2TW2GIXL +18882467822
IC* INSTACART*4493
SAN FRANCISCO
CA
+18882467822",IC* INSTACART*4493  SAN FRANCISCO       CA,"50 BEALE ST
6TH FLOOR","SAN FRANCISCO
CA",94105,UNITED STATES,'320261310718005635',Merchandise & Supplies-Groceries
