Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/16/2026,05/17/2026,Payment Thank You-Mobile,,Payment,49.28,
05/15/2026,05/15/2026,Payment Thank You-Mobile,,Payment,208.92,
05/14/2026,05/15/2026,COSTCO GAS #0423,Gas,Sale,-49.28,
05/12/2026,05/13/2026,COSTCO GAS #0423,Gas,Sale,-41.67,
05/11/2026,05/12/2026,COSTCO WHSE #0423,Shopping,Sale,-16.45,
05/11/2026,05/12/2026,COSTCO WHSE #0423,Shopping,Sale,-2.18,
05/11/2026,05/12/2026,COSTCO WHSE #0423,Shopping,Sale,-0.87,
05/10/2026,05/11/2026,COSTCO WHSE #0423,Shopping,Sale,-52.39,
05/05/2026,05/06/2026,COSTCO GAS #0423,Gas,Sale,-48.30,
05/05/2026,05/06/2026,COSTCO WHSE #0423,Shopping,Sale,-47.06,
05/01/2026,05/01/2026,Payment Thank You-Mobile,,Payment,30.90,
04/28/2026,04/29/2026,AMAZON MKTPL*BV03Y44T2,Shopping,Sale,-15.34,
04/28/2026,04/29/2026,Amazon.com*BS2NI5WH1,Shopping,Sale,-15.56,
04/25/2026,04/26/2026,Payment Thank You-Mobile,,Payment,268.19,
04/23/2026,04/24/2026,COSTCO GAS #0423,Gas,Sale,-46.34,
04/21/2026,04/22/2026,COSTCO GAS #0423,Gas,Sale,-8.25,
04/21/2026,04/22/2026,COSTCO GAS #0423,Gas,Sale,-68.23,
04/19/2026,04/20/2026,AMAZON MKTPL*B77LQ2WT0,Shopping,Sale,-84.48,
04/18/2026,04/19/2026,AMAZON MKTPL*BS1PC38H2,Shopping,Sale,-2.80,
04/08/2026,04/09/2026,AMAZON MKTPL*B79PX4YC2,Shopping,Sale,-9.87,
04/05/2026,04/06/2026,AMAZON MKTPL*BG5NW0II0,Shopping,Sale,-28.48,
04/04/2026,04/05/2026,Payment Thank You-Mobile,,Payment,325.47,
04/03/2026,04/05/2026,AMAZON MKTPL*BG1EQ58Q0,Shopping,Sale,-19.74,
03/16/2026,03/16/2026,AMAZON MKTPL*B50080N42,Shopping,Sale,-28.36,
03/15/2026,03/16/2026,AMAZON MKTPLACE PMTS,Shopping,Return,40.37,
03/15/2026,03/15/2026,Amazon.com*B54974CO2,Shopping,Sale,-31.19,
03/14/2026,03/15/2026,AMAZON MKTPL*BD0Q19UH2,Shopping,Sale,-46.86,
03/15/2026,03/15/2026,AMAZON MKTPL*BP9W75H50,Shopping,Sale,-42.19,
03/14/2026,03/15/2026,AMAZON MKTPL*BP9FY3YW1,Shopping,Sale,-46.86,
03/13/2026,03/13/2026,AMAZON MKTPL*BP4R072S1,Shopping,Sale,-14.18,
03/12/2026,03/13/2026,AMAZON MKTPL*BD8WD9852,Shopping,Sale,-59.57,
03/12/2026,03/13/2026,AMAZON MKTPL*BP1QZ6QA1,Shopping,Sale,-40.37,
03/12/2026,03/13/2026,AMAZON MKTPL*BP2A51TL0,Shopping,Sale,-13.74,
03/12/2026,03/13/2026,AMAZON MKTPL*BD36W75I2,Shopping,Sale,-42.52,
