Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/04/2026,05/06/2026,DECCAN MORSEL SUNNYVALE,Food & Drink,Sale,-7.11,
05/05/2026,05/06/2026,BELKIN CORPORATION,Shopping,Sale,-9.99,
05/03/2026,05/05/2026,SPROUTS FARMERS MAR,Groceries,Sale,-30.66,
05/02/2026,05/04/2026,APNI MANDI FARMERS MARKE,Groceries,Sale,-1.23,
05/03/2026,05/04/2026,FRONTIER AI DI1MPD,Travel,Sale,-107.00,
05/01/2026,05/03/2026,INTUIT MTV22 COFFEE,Food & Drink,Sale,-1.48,
05/01/2026,05/03/2026,MASTER BUTCHER INC,Groceries,Sale,-7.03,
04/29/2026,05/01/2026,INTUIT MTV20 CAFE MOB,Food & Drink,Sale,-7.30,
04/30/2026,04/30/2026,Payment Thank You-Mobile,,Payment,2275.83,
04/28/2026,04/29/2026,USCIS ELIS I907 W/I765,Bills & Utilities,Sale,-2250.00,
04/28/2026,04/29/2026,CVS/PHARMACY #09700,Health & Wellness,Sale,-11.84,
04/27/2026,04/27/2026,Payment Thank You-Mobile,,Payment,60.66,
04/26/2026,04/27/2026,DOLLAR TREE,Shopping,Sale,-13.99,
04/25/2026,04/26/2026,Payment Thank You-Mobile,,Payment,173.93,
04/23/2026,04/26/2026,INTUIT MTV22 CAFE MOB,Food & Drink,Sale,-7.30,
04/24/2026,04/26/2026,DD *DOORDASH P.F.CHANG,Food & Drink,Sale,-21.30,
04/24/2026,04/26/2026,CVS/PHARMACY #09856,Health & Wellness,Sale,-12.06,
04/24/2026,04/26/2026,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
04/23/2026,04/24/2026,DD *DOORDASH DESIPIZZA,Food & Drink,Sale,-28.17,
04/18/2026,04/20/2026,SARKU JAPAN 133,Food & Drink,Sale,-17.36,
04/17/2026,04/19/2026,Payment Thank You-Mobile,,Payment,2013.64,
04/17/2026,04/19/2026,INTUIT MTV6 CAFE MOB,Food & Drink,Sale,-7.30,
